gradient_boosting_classifier,criterion,friedman_mse,squared_error,learning_rate,0.05,0.1,0.3,min_samples_split,10,2,5,50*,n_estimators,100,50,500,subsample,0.7,1.0,warm_start,Performance
1,1,0,1,1,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0.9459
1,1,0,1,1,0,1,0,1,0,0,0,1,1,1,0,0,1,1,0,1,0.9417
1,1,0,1,1,1,0,0,1,0,1,0,0,1,0,0,1,1,1,0,1,0.9246
1,1,1,0,1,0,1,0,1,1,0,0,0,1,0,0,1,1,0,1,1,0.9554
1,1,0,1,1,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,1,0.9466
1,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0.9664
1,1,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,1,0.9634
1,1,0,1,1,0,1,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0.9267
1,1,0,1,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0.9417
1,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0.8956
1,1,0,1,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0.9653
1,1,0,1,1,0,1,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0.9652
1,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0.9605
1,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,1,0.9468
1,1,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0.8969
1,1,0,1,1,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0.9475
1,1,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,1,0.9624
1,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0.9664
1,1,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,0,1,0.9266
1,1,0,1,1,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0.9248
1,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0.897
1,1,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0.9468
1,1,0,1,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0.9488
1,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0.8951
1,1,0,1,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0.9417
1,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0.9497
1,1,0,1,1,1,0,0,1,1,0,0,0,1,0,1,0,1,1,0,1,0.9251
1,1,1,0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,1,0.9589
1,1,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0.9488
1,1,0,1,1,0,1,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0.9251
1,1,0,1,1,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0.9671
1,1,0,1,1,1,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0.9475
1,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0.897
1,1,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,1,0.9648
1,1,0,1,1,1,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0.9648
1,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0.9461
1,1,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0.9251
1,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0.9448
1,1,0,1,1,0,1,0,1,1,0,0,0,1,0,1,0,1,1,0,1,0.9497
1,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0.9433
1,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0.8951
1,1,1,0,1,0,1,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0.9608
1,1,0,1,1,1,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,0.9248
1,1,0,1,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0.9482
1,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,1,1,0.9431
