sgd,average,early_stopping,fit_intercept,loss,epsilon_insensitive,hinge,huber,log_loss,modified_huber,perceptron,squared_error,penalty,elasticnet,l1,l2,None,shuffle,warm_start,Performance
1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0.6661
1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0.1043
1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0.894
1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0.9108
1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0.221
1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0.9122
1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0.917
1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0.0962
1,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0.8839
1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0.6462
1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0.9099
1,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0.9038
1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0.916
1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0.8685
1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0.734
1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0.9136
1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0.1022
1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0.9093
1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0.8798
1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0.9022
1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0.8764
1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0.7992
1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0.9018
1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0.0994
1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0.7925
1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0.5138
1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0.8847
1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0.0927
1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0.1244
1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0.8685
1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0.8004
1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0.9098
1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0.6576
1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0.9041
1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0.7026
1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0.9076
